# list of all Wikipedia articles, generated 08:43:10 12-Jan-2014
# Rfam release 11.0, release date 2012-08-14
23S_methyl_RNA_motif	RF01065 
Dictyoglomi-1_RNA_motif	RF01703 
Dictyostelium_class_I_RNA	RF01414 
Dictyostelium_class_II_RNA	RF01571 
DISC2_(gene)	RF02102 
DLEU1_(gene)	RF02103 RF02104 
DLEU2	RF02105 RF02106 RF02107 RF02108 RF02109 RF02110 
DLG2-AS1	RF02112 RF02113 
DNA_polymerase_beta	RF01455 
DnaX_ribosomal_frameshifting_element	RF00382 
Downstream-peptide_motif	RF01704 
Drosophila_roX_RNA	RF01666 RF01667 
DsrA_RNA	RF00014 
Eastern_equine_encephalitis_virus	RF01839 
EBER	RF01789 
EGOT_(gene)	RF01958 
ENOD40	RF01845 
Enterobacteria_greA_leader	RF01769 
Enterobacteria_rnk_leader	RF01771 
Enteroviral_3'_UTR_element	RF00041 
Enterovirus_5'_cloverleaf_cis-acting_replication_element	RF00386 
Enterovirus_cis-acting_replication_element	RF00048 
Eps-Associated_RNA_element	RF01735 
Epstein-Barr_virus_nuclear_antigen_(EBNA)_IRES	RF00448 
Epstein-Barr_virus_snoRNA1	RF01516 
Equine_arteritis_virus_leader_TRS_hairpin_(LTH)	RF00498 
Equine_infectious_anemia	RF01792 
Escherichia_coli_sRNA	RF02029 RF02030 RF02031 RF02111 
Evf-1	RF01778 RF01887 RF01888 
FAS-AS1_(gene)	RF02116 
FasX_small_RNA	RF02384 
Feline_immunodeficiency_virus	RF01834 
FGF-1_internal_ribosome_entry_site_(IRES)	RF00387 
FGF-2_internal_ribosome_entry_site_(IRES)	RF00224 
FIE3_(ftz_instability_element_3')_element	RF00227 
FinP	RF00107 
Flavivirus	RF00185 RF00465 RF00525 RF01415 RF02340 
flavivirus_capsid_hairpin_cHP	RF00617 
Flavo-1_RNA_motif	RF01705 
Flg-Rhizobiales_RNA_motif	RF01736 
FlpD_RNA_motif	RF01737 
FMN_riboswitch	RF00050 
FMR1-AS1_gene	RF02117 RF02118 
FnrS_RNA	RF01796 
FourU_thermometer	RF01795 
FsrA	RF02273 
Ftx_(gene)	RF02119 RF02120 RF02121 RF02122 RF02123 
G-CSF_factor_stem-loop_destabilising_element	RF00183 
GABRA3	RF01803 
GabT_RNA_motif	RF01738 
gadd7	RF01800 
GadY	RF00122 
Gag/pol_translational_readthrough_site	RF01073 RF01092 
GAIT_element	RF00179 
Gammaproteobacteria_rimP_leader	RF01770 
Gammaretrovirus_core_encapsidation_signal	RF00374 
GcvB_RNA	RF00022 
GHRLOS	RF02126 
GIR1_branching_ribozyme	RF01801 RF01807 
glmS_glucosamine-6-phosphate_activated_ribozyme	RF00234 
GlmY_RNA	RF00128 
GlmZ_RNA	RF00083 
GlnA_RNA_motif	RF01739 
Glycine_riboswitch	RF00504 
GNAS-AS1	RF02127 RF02128 RF02129 RF02130 RF02131 
GOLLD_RNA_motif	RF02032 
GRIK4	RF01383 
Group_I_catalytic_intron	RF00028 
Group_II_intron	RF00029 RF01998 RF01999 RF02001 RF02003 RF02004 RF02005 RF02012 
Gurken_localisation_signal	RF00626 
Gut-1_RNA_motif	RF01706 
GyrA_RNA_motif	RF01740 
H19_(gene)	RF01972 RF01973 RF01974 
H2cR_sRNA	RF02369 
Hairpin_ribozyme	RF00173 
Hairy_RNA_localisation_element_(HLE)	RF00437 
Hammerhead_ribozyme	RF00008 RF00163 RF02275 RF02276 RF02277 
HBV_RNA_encapsidation_signal_epsilon	RF01047 
HEARO_RNA_motif	RF02033 
Heat_shock_protein_70_(Hsp70)_internal_ribosome_entry_site_(IRES)	RF00495 
Hepatitis_A_virus_cis-acting_replication_element	RF02533 
Hepatitis_A_virus_internal_ribosome_entry_site_(IRES)	RF00228 
Hepatitis_C_alternative_reading_frame_stem-loop	RF00620 
Hepatitis_C_stem-loop_IV	RF00469 
Hepatitis_C_virus_3'X_element	RF00481 
Hepatitis_C_virus_cis-acting_replication_element	RF00260 
Hepatitis_C_virus_internal_ribosome_entry_site	RF00061 
Hepatitis_C_virus_stem-loop_VII	RF00468 
Hepatitis_delta_virus_ribozyme	RF00094 
Hepatitis_E_virus_cis-reactive_element	RF00550 
Hfq_binding_sRNA	RF01385 RF01386 RF01387 RF01388 RF01389 RF01390 RF01391 RF01392 RF01393 RF01394 RF01395 RF01396 RF01397 RF01398 RF01399 RF01400 RF01401 RF01402 RF01403 RF01404 RF01405 RF01406 RF01407 RF01408 RF01409 RF02068 RF02088 
HgcC_family_RNA	RF00062 
HgcE_RNA	RF00060 
HgcF_RNA	RF00058 
HgcG_RNA	RF00064 RF01049 
HIF-1_alpha_IRES	RF00449 
Histidine_operon_leader	RF00514 
Histone_3'_UTR_stem-loop	RF00032 
HIV	RF01835 
HIV_gag_stem_loop_3_(GSL3)	RF00376 
HIV_Rev_response_element	RF00036 
HIV_ribosomal_frameshift_signal	RF00480 
Hok/sok_system	RF01794 
HopC_RNA_motif	RF01741 
HOTAIR	RF01904 RF01905 RF01906 RF01907 RF01908 
HOTAIRM1	RF01975 RF01976 RF01977 RF01978 RF01979 
HOTTIP	RF02040 RF02041 RF02042 RF02043 
HOXA11-AS1_(gene)	RF02137 RF02138 RF02139 RF02140 RF02141 RF02142 
HOXB13-AS1_(gene)	RF02132 RF02133 
HslVU	RF02401 
Hsp17_thermometer	RF02358 
Hsp90_cis-regulatory_element	RF00433 
Hsromega	RF01885 RF01886 
HSUR	RF01802 
HTT-AS1_(gene)	RF02134 RF02135 RF02136 
HULC_(gene)	RF02101 
Human_accelerated_region_1	RF00635 
Human_parechovirus_1_(HPeV1)_cis_regulatory_element_(CRE)	RF00499 
Human_rhinovirus_internal_cis-acting_regulatory_element	RF00220 
Human_T-lymphotropic_virus	RF01790 
HYMAI	RF02143 
IMES-1_RNA_motif	RF02034 
IMES-2_RNA_motif	RF02035 
IMES-3_RNA_motif	RF02036 
IMES-4_RNA_motif	RF02037 
Infectious_bronchitis_virus_D-RNA	RF00385 
Influenza_virus_pseudoknot	RF01099 
Insertion_sequence_IS1222_ribosomal_frameshifting_element	RF00383 
Insulin-like_growth_factor_II_IRES	RF00483 
Interferon_gamma_5'_UTR_regulatory_element	RF00259 
Invasion_gene_associated_RNA_(InvR)	RF01384 
Iron_response_element	RF00037 RF02253 
Iron_stress_repressed_RNA	RF01419 
IS061_RNA	RF00115 
IS102_RNA	RF00124 
IS128_RNA	RF00125 
iscR_stability_element	RF01517 
Jpx_(gene)	RF02124 RF02125 
JUMPstart_RNA_motif	RF01707 
K10_transport/localisation_element_(TLS)	RF00207 
Kaposi's_sarcoma-associated_herpesvirus_internal_ribosome_entry_site_(IRES)	RF00511 
KCNQ1DN	RF01961 
KCNQ1OT1	RF01946 RF01947 RF01948 RF01949 RF01950 
L-myc_internal_ribosome_entry_site_(IRES)	RF00261 
L17DE_RNA_motif	RF01708 
Lactis-leu-phe_leader_RNA_motif	RF01743 
Lactis-plasmid_RNA_motif	RF01742 
Lacto-rpoB_RNA_motif	RF01709 
Lacto-usp_RNA_motif	RF01710 
Lambda_phage	RF01804 
LdrD-RdlD_toxin-antitoxin_system	RF01813 RF01853 
Leishmania	RF02400 
let-7_microRNA_precursor	RF00027 
Leucine_operon_leader	RF00512 
lin-4_microRNA_precursor	RF00052 
Listeria_Hfq_binding_LhrA	RF00615 
Listeria_Hfq_binding_LhrC	RF00616 
Listeria_monocytogenes_non-coding_RNA	RF01457 RF01458 RF01459 RF01460 RF01461 RF01462 RF01463 RF01464 RF01465 RF01466 RF01467 RF01468 RF01469 RF01470 RF01471 RF01472 RF01473 RF01474 RF01475 RF01476 RF01477 RF01478 RF01479 RF01480 RF01481 RF01483 RF01484 RF01485 RF01486 RF01487 RF01488 RF01489 RF01490 RF01491 RF01492 RF01493 RF01494 RF02414 RF02415 
LivK_RNA_motif	RF01744 
Lnt_RNA_motif	RF01711 
Long_non-coding_RNA	RF01879 RF01884 RF01889 RF01890 RF01928 RF02114 RF02115 RF02198 RF02199 RF02200 RF02201 
Long_range_pseudoknots	RF01086 
Lsy-6_microRNA	RF00823 
Luteovirus_cap-independent_translation_element_(BTE)	RF00434 
Lysine_riboswitch	RF00168 
Magnesium_responsive_RNA_element	RF01056 
MALAT1	RF01871 
MALAT1-associated_small_cytoplasmic_RNA	RF01684 
Mammalian_CPEB3_ribozyme	RF00622 
ManA_RNA_motif	RF01745 
Mason-Pfizer_monkey_virus_packaging_signal	RF00459 
MEG3	RF01870 RF01872 
MEG8_(gene)	RF02145 RF02146 RF02147 
Mesoplasma_florum_riboswitch	RF01510 
MESTIT1_(gene)	RF02148 RF02149 RF02150 
Methionine_adenosyltransferase	RF02260 RF02261 RF02262 RF02263 RF02264 RF02265 
Methylobacterium-1_RNA_motif	RF01712 
MIAT_(gene)	RF01874 RF01875 RF01876 RF01877 
MicA_RNA	RF00078 
MicC_RNA	RF00121 
MicF_RNA	RF00033 
MicroRNA	RF00637 RF00638 RF00639 RF00640 RF00641 RF00642 RF00643 RF00645 RF00646 RF00647 RF00648 RF00649 RF00650 RF00652 RF00654 RF00655 RF00659 RF00663 RF00665 RF00666 RF00668 RF00670 RF00672 RF00673 RF00674 RF00677 RF00678 RF00681 RF00685 RF00687 RF00688 RF00689 RF00690 RF00692 RF00693 RF00695 RF00697 RF00698 RF00702 RF00703 RF00704 RF00705 RF00706 RF00707 RF00708 RF00709 RF00710 RF00711 RF00712 RF00713 RF00714 RF00715 RF00716 RF00717 RF00718 RF00719 RF00720 RF00721 RF00723 RF00724 RF00725 RF00726 RF00728 RF00729 RF00730 RF00732 RF00734 RF00735 RF00737 RF00739 RF00740 RF00741 RF00742 RF00743 RF00744 RF00745 RF00746 RF00747 RF00750 RF00751 RF00752 RF00753 RF00754 RF00755 RF00756 RF00757 RF00758 RF00760 RF00761 RF00762 RF00763 RF00765 RF00766 RF00768 RF00769 RF00770 RF00771 RF00772 RF00773 RF00774 RF00775 RF00776 RF00777 RF00778 RF00779 RF00780 RF00781 RF00782 RF00783 RF00784 RF00785 RF00786 RF00787 RF00788 RF00789 RF00790 RF00791 RF00792 RF00793 RF00794 RF00795 RF00797 RF00798 RF00799 RF00800 RF00801 RF00802 RF00803 RF00804 RF00805 RF00806 RF00807 RF00808 RF00809 RF00810 RF00811 RF00812 RF00813 RF00814 RF00815 RF00816 RF00817 RF00818 RF00819 RF00820 RF00821 RF00822 RF00824 RF00825 RF00826 RF00827 RF00828 RF00829 RF00830 RF00831 RF00832 RF00833 RF00834 RF00835 RF00836 RF00837 RF00838 RF00839 RF00840 RF00841 RF00842 RF00843 RF00844 RF00845 RF00846 RF00847 RF00848 RF00849 RF00850 RF00851 RF00852 RF00853 RF00854 RF00855 RF00856 RF00857 RF00858 RF00859 RF00861 RF00862 RF00863 RF00864 RF00865 RF00866 RF00867 RF00868 RF00869 RF00870 RF00871 RF00872 RF00873 RF00874 RF00875 RF00876 RF00877 RF00878 RF00879 RF00882 RF00883 RF00884 RF00885 RF00886 RF00887 RF00888 RF00890 RF00891 RF00892 RF00893 RF00894 RF00895 RF00896 RF00897 RF00898 RF00899 RF00900 RF00901 RF00902 RF00903 RF00904 RF00905 RF00906 RF00907 RF00908 RF00909 RF00910 RF00911 RF00912 RF00914 RF00915 RF00917 RF00918 RF00919 RF00920 RF00921 RF00922 RF00925 RF00926 RF00927 RF00928 RF00929 RF00931 RF00932 RF00933 RF00934 RF00935 RF00936 RF00937 RF00939 RF00940 RF00941 RF00942 RF00943 RF00944 RF00945 RF00946 RF00947 RF00948 RF00949 RF00950 RF00951 RF00952 RF00953 RF00954 RF00955 RF00956 RF00957 RF00958 RF00959 RF00960 RF00961 RF00962 RF00963 RF00964 RF00965 RF00966 RF00967 RF00968 RF00969 RF00970 RF00971 RF00972 RF00973 RF00974 RF00975 RF00976 RF00977 RF00978 RF00979 RF00980 RF00981 RF00983 RF00984 RF00985 RF00986 RF00987 RF00988 RF00989 RF00990 RF00991 RF00992 RF00993 RF00994 RF00995 RF00996 RF00997 RF00998 RF00999 RF01000 RF01001 RF01002 RF01003 RF01004 RF01005 RF01006 RF01007 RF01008 RF01009 RF01010 RF01011 RF01012 RF01013 RF01014 RF01015 RF01016 RF01017 RF01018 RF01019 RF01020 RF01021 RF01022 RF01023 RF01024 RF01025 RF01026 RF01027 RF01028 RF01029 RF01030 RF01031 RF01032 RF01033 RF01034 RF01035 RF01036 RF01037 RF01038 RF01039 RF01040 RF01041 RF01042 RF01043 RF01044 RF01045 RF01059 RF01061 RF01062 RF01063 RF01064 RF01117 RF01314 RF01413 RF01895 RF01896 RF01897 RF01898 RF01899 RF01900 RF01901 RF01902 RF01903 RF01910 RF01911 RF01912 RF01913 RF01914 RF01915 RF01916 RF01917 RF01918 RF01919 RF01920 RF01921 RF01922 RF01923 RF01924 RF01925 RF01926 RF01927 RF01936 RF01937 RF01938 RF01939 RF01940 RF01941 RF01942 RF01943 RF01944 RF01945 RF01996 RF01997 RF02000 RF02002 RF02006 RF02007 RF02008 RF02009 RF02010 RF02011 RF02013 RF02014 RF02015 RF02016 RF02017 RF02018 RF02019 RF02020 RF02021 RF02022 RF02023 RF02024 RF02025 RF02026 RF02027 RF02028 RF02061 RF02092 RF02093 RF02094 RF02095 RF02096 RF02097 RF02214 RF02244 RF02245 RF02516 RF02517 RF02518 RF02520 
MicX_sRNA	RF01805 RF01806 RF01808 
MIMT1_(gene)	RF02151 RF02152 
Mini-ykkC_RNA_motif	RF01068 
mir-101_microRNA_precursor_family	RF00253 
mir-103/107_microRNA_precursor	RF00129 
mir-10_microRNA_precursor_family	RF00104 
Mir-11_microRNA_precursor_family	RF00813 
MiR-122	RF00684 
mir-124_microRNA_precursor_family	RF00239 
Mir-126	RF00701 
Mir-127	RF00676 
mir-129_microRNA_precursor_family	RF00486 
mir-130_microRNA_precursor_family	RF00258 
Mir-132	RF00662 
mir-133_microRNA_precursor_family	RF00446 
miR-134	RF00699 
mir-135_microRNA_precursor_family	RF00246 
Mir-137	RF00694 
miR-138	RF00671 
Mir-143	RF00683 
miR-144	RF00682 
Mir-145	RF00675 
miR-146	RF00691 
mir-148/mir-152_microRNA_precursor_family	RF00248 
Mir-14_microRNA_precursor_family	RF00752 
MiR-150	RF00767 
Mir-153_microRNA_precursor_family	RF00650 
Mir-154_microRNA_precursor_family	RF00641 
Mir-155	RF00731 
mir-156_microRNA_precursor	RF00073 
mir-15_microRNA_precursor_family	RF00455 
mir-160_microRNA_precursor_family	RF00247 
mir-166_microRNA_precursor	RF00075 
mir-16_microRNA_precursor_family	RF00254 
mir-172_microRNA_precursor_family	RF00452 
mir-17_microRNA_precursor_family	RF00051 
mir-181_microRNA_precursor	RF00076 
Mir-184	RF00657 
Mir-185_microRNA_precursor_family	RF00771 
Mir-186_microRNA_precursor_family	RF00697 
Mir-187_microRNA_precursor_family	RF00674 
Mir-188_microRNA_precursor_family	RF01897 
Mir-190_microRNA_precursor_family	RF00672 
miR-191	RF00764 
mir-192/215_microRNA_precursor	RF00130 
Mir-193_microRNA_precursor_family	RF01895 
mir-194_microRNA_precursor_family	RF00257 
mir-196_microRNA_precursor_family	RF00256 
Mir-198_microRNA_precursor_family	RF00681 
mir-199_microRNA_precursor	RF00144 
mir-19_microRNA_precursor_family	RF00245 
mir-1_microRNA_precursor_family	RF00103 
Mir-202_microRNA_precursor_family	RF00705 
MiR-203	RF00696 
Mir-205	RF00656 
MiR-208	RF00749 
Mir-210_microRNA	RF00679 
MiR-214	RF00660 
Mir-216_microRNA_precursor_family	RF00654 
mir-218_microRNA_precursor_family	RF00255 
mir-219_microRNA_precursor_family	RF00251 
Mir-22	RF00653 
Mir-221_microRNA	RF00651 
Mir-223	RF00664 
MiR-224	RF00680 
Mir-23_microRNA_precursor_family	RF00642 
Mir-241_microRNA_precursor_family	RF00809 
mir-24_microRNA_precursor_family	RF00178 
Mir-25_microRNA_precursor_family	RF02020 
mir-26_microRNA_precursor_family	RF00244 
miR-27	RF00644 
Mir-275_microRNA_precursor_family	RF00757 
Mir-277_microRNA_precursor_family	RF00730 
Mir-278_microRNA_precursor_family	RF00729 
Mir-279_microRNA_precursor_family	RF00754 
Mir-281_microRNA_precursor_family	RF00967 
Mir-282_microRNA_precursor_family	RF00724 
Mir-28_microRNA_precursor_family	RF00655 
miR-296	RF00733 
Mir-299_microRNA_precursor_family	RF00756 
mir-29_microRNA_precursor	RF00074 
mir-2_microRNA_precursor	RF00047 
Mir-301_microRNA_precursor_family	RF02061 
Mir-305_microRNA_precursor_family	RF00732 
mir-30_microRNA_precursor	RF00131 
Mir-31	RF00661 
Mir-3180_microRNA_precursor_family	RF02010 
Mir-320	RF00736 
Mir-322_microRNA_precursor_family	RF00737 
Mir-326_microRNA_precursor_family	RF00719 
Mir-32_microRNA_precursor_family	RF00666 
miR-33	RF00667 
Mir-330_microRNA_precursor_family	RF00770 
Mir-331_microRNA_precursor_family	RF00769 
Mir-337_microRNA_precursor_family	RF00765 
miR-338	RF00686 
Mir-339_microRNA_precursor_family	RF00763 
Mir-340_microRNA_precursor_family	RF00761 
Mir-344_microRNA_precursor_family	RF00825 
Mir-345_microRNA_precursor_family	RF01044 
Mir-346_microRNA_precursor_family	RF00758 
mir-34_microRNA_precursor_family	RF00456 
Mir-350_microRNA_precursor_family	RF00806 
Mir-351_microRNA_precursor_family	RF00805 
Mir-361_microRNA_precursor_family	RF00744 
Mir-363_microRNA_precursor_family	RF01898 
Mir-365_microRNA_precursor_family	RF00659 
Mir-367_microRNA_precursor_family	RF00735 
Mir-370_microRNA_precursor_family	RF00740 
Mir-374_microRNA_precursor_family	RF00840 
Mir-375	RF00700 
Mir-383_microRNA_precursor_family	RF00715 
Mir-384_microRNA_precursor_family	RF00841 
mir-395_microRNA_precursor_family	RF00451 
Mir-398_microRNA_precursor_family	RF00695 
mir-399_microRNA_precursor_family	RF00445 
Mir-3_microRNA_precursor_family	RF00716 
Mir-423_microRNA_precursor_family	RF00870 
Mir-425_microRNA_precursor_family	RF00803 
Mir-42_microRNA_precursor_family	RF00794 
Mir-430_microRNA_precursor_family	RF01413 
Mir-431_microRNA_precursor_family	RF00718 
Mir-432_microRNA_precursor_family	RF00775 
Mir-433	RF00748 
Mir-434_microRNA_precursor_family	RF00941 
Mir-448_microRNA_precursor_family	RF00723 
Mir-449_microRNA_precursor_family	RF00711 
Mir-451_microRNA	RF00722 
Mir-452_microRNA_precursor_family	RF00839 
Mir-454_microRNA_precursor_family	RF00746 
Mir-455_microRNA_precursor_family	RF00709 
mir-46/mir-47/mir-281_microRNA_precursor_family	RF00249 
Mir-48	RF00796 
Mir-484_microRNA_precursor_family	RF00783 
Mir-488_microRNA_precursor_family	RF00861 
Mir-489_microRNA_precursor_family	RF00698 
Mir-491_microRNA_precursor_family	RF00862 
Mir-492_microRNA_precursor_family	RF00989 
Mir-497_microRNA_precursor_family	RF00793 
Mir-498_microRNA_precursor_family	RF00958 
Mir-500_microRNA_precursor_family	RF01903 
Mir-503_microRNA_precursor_family	RF00753 
Mir-504_microRNA_precursor_family	RF00939 
Mir-505_microRNA_precursor_family	RF00781 
Mir-506_microRNA_precursor_family	RF01910 
Mir-529_microRNA_precursor_family	RF00908 
Mir-52_microRNA_precursor_family	RF00734 
Mir-535_microRNA_precursor_family	RF00714 
Mir-541_microRNA_precursor_family	RF00777 
Mir-542_microRNA_precursor_family	RF00755 
Mir-544_microRNA_precursor_family	RF01045 
Mir-548_microRNA_precursor_family	RF01061 
Mir-549_microRNA_precursor_family	RF00965 
Mir-550_microRNA_precursor_family	RF00873 
Mir-552_microRNA_precursor_family	RF00990 
Mir-558_microRNA_precursor_family	RF01021 
Mir-562_microRNA_precursor_family	RF00998 
Mir-569_microRNA_precursor_family	RF01018 
Mir-572_microRNA_precursor_family	RF01020 
Mir-575_microRNA_precursor_family	RF02011 
Mir-580_microRNA_precursor_family	RF01000 
Mir-584_microRNA_precursor_family	RF01016 
Mir-589_microRNA_precursor_family	RF00987 
Mir-58_microRNA_precursor_family	RF00835 
Mir-590_microRNA_precursor_family	RF00928 
Mir-592_microRNA_precursor_family	RF00877 
Mir-598_microRNA_precursor_family	RF01059 
Mir-5_microRNA_precursor_family	RF00854 
Mir-601_microRNA_precursor_family	RF01006 
Mir-605_microRNA_precursor_family	RF01011 
Mir-612_microRNA_precursor_family	RF00959 
Mir-615_microRNA_precursor_family	RF00879 
Mir-616_microRNA_precursor_family	RF00995 
Mir-618_microRNA_precursor_family	RF01034 
Mir-61_microRNA_precursor_family	RF00848 
Mir-624_microRNA_precursor_family	RF01007 
Mir-625_microRNA_precursor_family	RF01017 
Mir-62_microRNA_precursor_family	RF00847 
Mir-632_microRNA_precursor_family	RF01010 
Mir-633_microRNA_precursor_family	RF01028 
Mir-636_microRNA_precursor_family	RF01008 
Mir-638_microRNA_precursor_family	RF00978 
Mir-650_microRNA_precursor_family	RF00952 
Mir-652_microRNA_precursor_family	RF00872 
Mir-657_microRNA_precursor_family	RF00988 
Mir-661_microRNA_precursor_family	RF00960 
Mir-663_microRNA_precursor_family	RF00957 
